TripID,DepartureLocationCountry,DepartureLocationCity,ArrivalLocationCountry,ArrivalLocationCity,ShippingType,ShippingTypeDescription,Purpose,OutOfPolicy,EntitiyCode,BusinessUnit,HotelNights,NetCosts
80,BR,Ṣo Paulo,AR,Buenos Aires,10,Economy Flight,Conference/Exhibition,No,8000,Sales,2,900
86,MX,Mexico City,US,Miami,14,Volkswagen Golf diesel,Customer Visit,No,10000,Marketing,5,3600
87,DE,Berlin,IT,Rome,12,Business Class Flight,Conference/Exhibition,No,6000,Sales,3,900
96,AU,Sydney,AU,Brisbane,13,BMW 3 diesel,Customer Visit,No,8000,Marketing,1,1200
97,MX,Mexico City,US,Miami,13,BMW 3 diesel,Enablement,No,7000,Sales,6,2700
101,DE,Berlin,ES,Madrid,15,Volkswagen Golf petrol,Conference/Exhibition,No,7000,Services,3,1200
102,CN,Beijing,RU,Moscow,10,Economy Flight,Internal Business Trip,No,10000,Sales,4,3000
106,AU,Sydney,SG,Singapore,12,Business Class Flight,Customer Visit,No,6000,Marketing,2,1800
107,DE,Berlin,ES,Madrid,13,BMW 3 diesel,Conference/Exhibition,No,6000,Sales,2,3750
118,AU,Sydney,SG,Singapore,10,Economy Flight,Conference/Exhibition,No,10000,Customer Support,5,3150
122,BR,Ṣo Paulo,ZA,Johannesburg,10,Economy Flight,Customer Visit,No,10000,Ecosystem,1,3300
130,CN,Beijing,RU,Moscow,10,Economy Flight,Customer Visit,No,9000,Sales,1,2850
140,AU,Sydney,DE,Frankfurt,10,Economy Flight,Customer Visit,No,8000,Sales,1,450
141,US,New York,MX,Mexico City,15,Volkswagen Golf petrol,Conference/Exhibition,No,10000,Executive Management,1,750
144,AU,Sydney,SG,Singapore,12,Business Class Flight,Customer Visit,Yes,8000,Value Engineering,2,900
147,CN,Beijing,IN,New Delhi,10,Economy Flight,Internal Business Trip,No,7000,Sales,3,3300
157,AU,Sydney,DE,Frankfurt,10,Economy Flight,Partner Visit,No,7000,Value Engineering,3,3300
160,BR,Ṣo Paulo,ZA,Johannesburg,10,Economy Flight,Internal Business Trip,No,9000,Marketing,4,2700
161,US,New York,CA,Toronto,12,Business Class Flight,Conference/Exhibition,Yes,6000,Sales,4,1800
167,AU,Sydney,DE,Frankfurt,12,Business Class Flight,Conference/Exhibition,Yes,6000,Marketing,2,3750
168,BR,Ṣo Paulo,US,Miami,12,Business Class Flight,Customer Visit,No,10000,Services,4,1800
172,AU,Sydney,DE,Frankfurt,11,First Class Flight,Customer Visit,Yes,6000,Marketing,2,450
176,DE,Berlin,FR,Paris,11,First Class Flight,Customer Visit,No,6000,Operations,3,1950
181,CN,Beijing,AU,Sydney,12,Business Class Flight,Customer Visit,Yes,10000,Office Management,6,3300
183,MX,Mexico City,US,Miami,14,Volkswagen Golf diesel,Customer Visit,No,10000,Sales,5,1350
186,BR,Ṣo Paulo,ZA,Johannesburg,10,Economy Flight,Conference/Exhibition,No,10000,Sales,2,2550
189,AU,Sydney,SG,Singapore,10,Economy Flight,Enablement,Yes,6000,Legal,4,2400
191,DE,Berlin,FR,Paris,17,Fiat 500 electric,Conference/Exhibition,No,9000,Marketing,3,3450
193,AU,Sydney,DE,Frankfurt,12,Business Class Flight,Conference/Exhibition,No,10000,Ecosystem,4,3300
194,AU,Sydney,AU,Perth,15,Volkswagen Golf petrol,Internal Business Trip,No,8000,Sales,3,2400
197,BR,Ṣo Paulo,ZA,Johannesburg,10,Economy Flight,Customer Visit,No,10000,Ecosystem,1,2250
204,BR,Ṣo Paulo,ZA,Johannesburg,10,Economy Flight,Customer Visit,No,10000,Customer Support,2,450
207,CN,Beijing,IN,New Delhi,14,Volkswagen Golf diesel,Conference/Exhibition,No,8000,Sales,2,3300
212,AU,Sydney,SG,Singapore,10,Economy Flight,Customer Visit,No,9000,Ecosystem,2,1800
214,AU,Sydney,SG,Singapore,10,Economy Flight,Customer Visit,No,7000,Marketing,3,3450
216,BR,Ṣo Paulo,US,Miami,10,Economy Flight,Customer Visit,No,8000,Value Engineering,1,1200
217,AU,Sydney,DE,Frankfurt,10,Economy Flight,Internal Business Trip,No,8000,Executive Management,1,900
218,AU,Sydney,US,Los Angeles,10,Economy Flight,Internal Business Trip,No,9000,Services,4,900
219,MX,Mexico City,US,Miami,14,Volkswagen Golf diesel,Customer Visit,No,6000,Executive Management,6,300
232,DE,Berlin,GB,London,4,Train,Enablement,No,6000,Value Engineering,5,2550
236,DE,Berlin,NL,Amsterdam,13,BMW 3 diesel,Conference/Exhibition,No,8000,Ecosystem,2,2850
239,BR,Ṣo Paulo,ZA,Johannesburg,10,Economy Flight,Customer Visit,No,8000,Value Engineering,4,900
248,US,New York,FR,Paris,12,Business Class Flight,Conference/Exhibition,Yes,10000,Sales,6,1500
251,AU,Sydney,US,Los Angeles,10,Economy Flight,Conference/Exhibition,No,7000,Legal,2,300
252,US,New York,MX,Mexico City,13,BMW 3 diesel,Conference/Exhibition,No,9000,Operations,5,2400
253,CN,Beijing,IN,New Delhi,10,Economy Flight,Customer Visit,No,10000,Marketing,3,2550
255,BR,Ṣo Paulo,ZA,Johannesburg,10,Economy Flight,Internal Business Trip,No,8000,Sales,3,1800
256,BR,Ṣo Paulo,AR,Buenos Aires,10,Economy Flight,Customer Visit,No,6000,Sales,3,2700
261,CN,Beijing,RU,Moscow,10,Economy Flight,Conference/Exhibition,No,10000,Value Engineering,3,450
269,AU,Sydney,US,Los Angeles,10,Economy Flight,Internal Business Trip,No,9000,Sales,3,3000
276,US,New York,CA,Toronto,12,Business Class Flight,Conference/Exhibition,No,7000,Customer Support,3,450
277,AU,Sydney,US,Los Angeles,10,Economy Flight,Customer Visit,No,10000,Value Engineering,1,1500
279,DE,Berlin,GB,London,11,First Class Flight,Customer Visit,No,7000,Executive Management,4,2250
281,US,New York,JP,Tokyo,12,Business Class Flight,Customer Visit,No,7000,Value Engineering,1,1950
282,US,New York,MX,Mexico City,11,First Class Flight,Customer Visit,Yes,6000,Marketing,4,2700
286,AU,Sydney,DE,Frankfurt,10,Economy Flight,Customer Visit,No,7000,Sales,3,2850
288,AU,Sydney,US,Los Angeles,10,Economy Flight,Conference/Exhibition,No,9000,Marketing,3,2400
293,DE,Berlin,ES,Madrid,12,Business Class Flight,Conference/Exhibition,Yes,9000,Marketing,2,1350
301,DE,Berlin,ES,Madrid,12,Business Class Flight,Customer Visit,No,7000,Sales,2,1350
304,BR,Ṣo Paulo,ZA,Johannesburg,10,Economy Flight,Customer Visit,No,8000,Sales,3,2400
312,DE,Berlin,IT,Rome,12,Business Class Flight,Enablement,Yes,10000,Marketing,5,3300
316,BR,Ṣo Paulo,ZA,Johannesburg,10,Economy Flight,Conference/Exhibition,No,10000,Ecosystem,5,300
317,BR,Ṣo Paulo,ZA,Johannesburg,12,Business Class Flight,Customer Visit,Yes,9000,Value Engineering,2,1500
318,BR,Ṣo Paulo,US,Miami,12,Business Class Flight,Customer Visit,Yes,7000,Sales,2,3900
320,CN,Beijing,RU,Moscow,10,Economy Flight,Customer Visit,No,8000,Marketing,2,2250
324,AU,Sydney,SG,Singapore,10,Economy Flight,Conference/Exhibition,No,8000,Marketing,5,2850
326,US,New York,CA,Toronto,14,Volkswagen Golf diesel,Conference/Exhibition,No,10000,Sales,2,2400
329,AU,Sydney,CN,Beijing,10,Economy Flight,Conference/Exhibition,No,9000,Operations,2,3600
332,AU,Sydney,DE,Frankfurt,10,Economy Flight,Conference/Exhibition,No,9000,Office Management,5,2700
338,DE,Berlin,ES,Madrid,13,BMW 3 diesel,Customer Visit,No,10000,Customer Support,3,1500
339,US,New York,MX,Mexico City,4,Train,Conference/Exhibition,No,8000,Executive Management,6,3000
341,BR,Ṣo Paulo,ZA,Johannesburg,10,Economy Flight,Enablement,No,10000,Sales,6,900
343,MX,Mexico City,US,Miami,14,Volkswagen Golf diesel,Conference/Exhibition,No,7000,Value Engineering,3,1800
354,AU,Sydney,CN,Beijing,17,Fiat 500 electric,Customer Visit,No,9000,Finance,3,1350
362,BR,Ṣo Paulo,US,Miami,10,Economy Flight,Internal Business Trip,No,9000,Customer Support,3,1500
368,AU,Sydney,AU,Brisbane,14,Volkswagen Golf diesel,Enablement,No,10000,Ecosystem,2,2700
369,ES,Madrid,PT,Lisbon,15,Volkswagen Golf petrol,Conference/Exhibition,No,6000,Sales,1,2400
377,BR,Ṣo Paulo,US,Miami,10,Economy Flight,Internal Business Trip,No,9000,Ecosystem,1,3000
381,AU,Sydney,US,Los Angeles,10,Economy Flight,Conference/Exhibition,No,10000,Marketing,4,2700
386,AU,Sydney,AU,Melbourne,14,Volkswagen Golf diesel,Enablement,No,9000,Sales,1,750
389,BR,Ṣo Paulo,AR,Buenos Aires,10,Economy Flight,Conference/Exhibition,No,9000,Sales,3,900
397,AU,Sydney,AU,Brisbane,14,Volkswagen Golf diesel,Customer Visit,No,7000,Value Engineering,3,3450
398,DE,Hamburg,DE,Berlin,13,BMW 3 diesel,Conference/Exhibition,No,7000,Marketing,2,2700
402,CN,Beijing,RU,Moscow,10,Economy Flight,Customer Visit,No,9000,Executive Management,5,2550
403,AU,Sydney,DE,Frankfurt,12,Business Class Flight,Customer Visit,Yes,6000,Value Engineering,6,1500
404,BR,Ṣo Paulo,US,Miami,10,Economy Flight,Customer Visit,No,9000,Customer Support,2,450
420,US,New York,CA,Toronto,12,Business Class Flight,Conference/Exhibition,No,8000,Sales,2,2850
421,BR,Ṣo Paulo,AR,Buenos Aires,10,Economy Flight,Conference/Exhibition,No,9000,Marketing,2,900
423,BR,Ṣo Paulo,PT,Lisbon,11,First Class Flight,Partner Visit,Yes,9000,Sales,5,750
430,DE,Berlin,ES,Madrid,13,BMW 3 diesel,Customer Visit,No,6000,Sales,1,750
431,DE,Berlin,ES,Madrid,13,BMW 3 diesel,Conference/Exhibition,No,7000,Ecosystem,2,1500
433,AU,Sydney,AU,Brisbane,13,BMW 3 diesel,Conference/Exhibition,Yes,8000,Executive Management,2,1050
441,AU,Sydney,SG,Singapore,10,Economy Flight,Customer Visit,No,6000,Sales,5,1500
443,BR,Ṣo Paulo,AR,Buenos Aires,11,First Class Flight,Conference/Exhibition,Yes,10000,Executive Management,1,900
445,BR,Ṣo Paulo,US,Miami,10,Economy Flight,Customer Visit,No,7000,Services,4,1800
452,AU,Sydney,SG,Singapore,10,Economy Flight,Internal Business Trip,No,9000,Customer Support,1,2550
457,BR,Ṣo Paulo,ZA,Johannesburg,10,Economy Flight,Customer Visit,No,10000,Sales,4,1350
460,DE,Berlin,NL,Amsterdam,14,Volkswagen Golf diesel,Customer Visit,Yes,8000,Sales,5,450
467,US,New York,MX,Mexico City,13,BMW 3 diesel,Conference/Exhibition,No,6000,Sales,2,3600
468,CN,Beijing,RU,Moscow,12,Business Class Flight,Customer Visit,No,10000,Sales,3,1350
473,BR,Ṣo Paulo,US,Miami,10,Economy Flight,Conference/Exhibition,No,10000,Services,2,450
474,DE,Hamburg,DE,Berlin,13,BMW 3 diesel,Internal Business Trip,No,10000,Ecosystem,6,2400
475,AU,Sydney,SG,Singapore,10,Economy Flight,Conference/Exhibition,No,10000,Marketing,5,2400
478,DE,Berlin,ES,Madrid,16,BMW 3 plugin hybrid,Conference/Exhibition,No,7000,Operations,3,2850
480,AU,Sydney,AU,Melbourne,13,BMW 3 diesel,Customer Visit,No,10000,Customer Support,3,3150
482,US,New York,MX,Mexico City,4,Train,Internal Business Trip,No,10000,Customer Support,2,3600
485,BR,Ṣo Paulo,US,Miami,10,Economy Flight,Conference/Exhibition,Yes,10000,Value Engineering,1,2700
495,AU,Sydney,NZ,Auckland,10,Economy Flight,Partner Visit,No,7000,Sales,3,450
499,BR,Ṣo Paulo,ZA,Johannesburg,10,Economy Flight,Conference/Exhibition,No,6000,Sales,3,2700
502,MX,Mexico City,US,Miami,13,BMW 3 diesel,Conference/Exhibition,No,6000,Value Engineering,1,450
503,US,New York,CA,Toronto,12,Business Class Flight,Customer Visit,No,9000,Marketing,1,750
514,AU,Sydney,DE,Frankfurt,10,Economy Flight,Conference/Exhibition,No,8000,Sales,3,3600
519,DE,Berlin,NL,Amsterdam,15,Volkswagen Golf petrol,Conference/Exhibition,Yes,8000,Marketing,2,900
521,AU,Sydney,SG,Singapore,10,Economy Flight,Customer Visit,No,6000,Sales,2,3000
523,US,New York,CA,Toronto,4,Train,Conference/Exhibition,No,6000,Value Engineering,3,2850
526,DE,Berlin,FR,Paris,14,Volkswagen Golf diesel,Customer Visit,No,9000,Product Management,3,2550
533,ZA,Cape Town,ZA,Johannesburg,14,Volkswagen Golf diesel,Customer Visit,Yes,7000,Sales,1,3900
539,US,New York,MX,Mexico City,14,Volkswagen Golf diesel,Customer Visit,No,10000,Services,3,3450
541,AU,Sydney,DE,Frankfurt,10,Economy Flight,Internal Business Trip,Yes,6000,Sales,2,2700
545,US,New York,FR,Paris,12,Business Class Flight,Customer Visit,Yes,9000,Sales,3,450
555,ZA,Cape Town,ZA,Johannesburg,13,BMW 3 diesel,Internal Business Trip,No,10000,Sales,1,2400
561,DE,Berlin,ES,Madrid,13,BMW 3 diesel,Conference/Exhibition,No,10000,Services,3,1500
574,CN,Beijing,RU,Moscow,10,Economy Flight,Customer Visit,No,8000,Value Engineering,6,3000
575,BR,Ṣo Paulo,ZA,Johannesburg,10,Economy Flight,Conference/Exhibition,No,9000,Ecosystem,2,3150
578,CN,Beijing,RU,Moscow,15,Volkswagen Golf petrol,Customer Visit,Yes,6000,Marketing,4,450
585,BR,Ṣo Paulo,PT,Lisbon,10,Economy Flight,Customer Visit,No,9000,Operations,6,1350
596,BR,Ṣo Paulo,US,Miami,10,Economy Flight,Conference/Exhibition,No,9000,Sales,2,300
619,US,New York,MX,Mexico City,12,Business Class Flight,Conference/Exhibition,No,8000,Executive Management,1,1800
625,BR,Ṣo Paulo,PT,Lisbon,10,Economy Flight,Customer Visit,No,8000,Ecosystem,3,1650
627,BR,Ṣo Paulo,US,Miami,10,Economy Flight,Customer Visit,Yes,9000,Marketing,3,3600
629,US,New York,FR,Paris,11,First Class Flight,Customer Visit,No,6000,Marketing,3,450
631,US,New York,JP,Tokyo,13,BMW 3 diesel,Customer Visit,No,7000,Sales,3,1800
632,CN,Beijing,AU,Sydney,4,Train,Customer Visit,Yes,7000,Sales,3,2850
634,US,New York,MX,Mexico City,12,Business Class Flight,Conference/Exhibition,No,6000,Ecosystem,1,3150
635,DE,Berlin,FR,Paris,12,Business Class Flight,Internal Business Trip,Yes,9000,Ecosystem,3,3000
638,CN,Beijing,IN,New Delhi,10,Economy Flight,Conference/Exhibition,No,9000,Customer Support,4,1800
639,BR,Ṣo Paulo,ZA,Johannesburg,10,Economy Flight,Enablement,No,8000,Sales,3,2400
652,DE,Berlin,GB,London,4,Train,Customer Visit,Yes,10000,Marketing,4,450
656,BR,Ṣo Paulo,ZA,Johannesburg,10,Economy Flight,Internal Business Trip,No,10000,Value Engineering,3,3150
659,AU,Sydney,US,Los Angeles,12,Business Class Flight,Conference/Exhibition,No,10000,Marketing,3,2400
661,BR,Ṣo Paulo,AR,Buenos Aires,15,Volkswagen Golf petrol,Partner Visit,No,8000,Sales,4,3000
666,AU,Sydney,US,Los Angeles,10,Economy Flight,Conference/Exhibition,No,9000,Office Management,3,300
671,CN,Beijing,IN,New Delhi,10,Economy Flight,Customer Visit,No,10000,Marketing,3,1200
679,AU,Sydney,SG,Singapore,10,Economy Flight,Conference/Exhibition,No,8000,Marketing,3,1500
680,AU,Sydney,DE,Frankfurt,10,Economy Flight,Internal Business Trip,No,7000,Marketing,2,3150
681,DE,Berlin,IT,Rome,13,BMW 3 diesel,Customer Visit,No,9000,Sales,3,3150
682,AU,Sydney,AU,Perth,15,Volkswagen Golf petrol,Customer Visit,No,10000,Services,1,3150
684,US,New York,CA,Toronto,15,Volkswagen Golf petrol,Partner Visit,No,6000,Sales,3,300
687,CN,Beijing,TR,Istanbul,15,Volkswagen Golf petrol,Conference/Exhibition,No,9000,Sales,2,900
692,CN,Beijing,IN,New Delhi,4,Train,Conference/Exhibition,No,10000,Ecosystem,6,3600
700,DE,Berlin,IT,Rome,12,Business Class Flight,Customer Visit,No,10000,Sales,5,2400
704,AU,Sydney,SG,Singapore,10,Economy Flight,Conference/Exhibition,No,7000,Customer Support,6,2700
721,DE,Berlin,ES,Madrid,14,Volkswagen Golf diesel,Conference/Exhibition,No,10000,Marketing,2,300
723,AU,Sydney,CN,Beijing,10,Economy Flight,Customer Visit,No,8000,Marketing,5,3600
725,BR,Ṣo Paulo,ZA,Johannesburg,10,Economy Flight,Customer Visit,No,8000,Marketing,1,3150
726,AU,Sydney,US,Los Angeles,10,Economy Flight,Customer Visit,No,7000,Value Engineering,3,300
728,AU,Sydney,DE,Frankfurt,12,Business Class Flight,Internal Business Trip,Yes,8000,Marketing,3,450
730,AU,Sydney,DE,Frankfurt,10,Economy Flight,Internal Business Trip,No,10000,Services,2,1500
731,MX,Mexico City,US,Miami,13,BMW 3 diesel,Customer Visit,Yes,8000,Sales,5,3750
735,DE,Berlin,ES,Madrid,12,Business Class Flight,Customer Visit,No,7000,Sales,4,3150
737,BR,Ṣo Paulo,US,Miami,12,Business Class Flight,Conference/Exhibition,No,6000,Executive Management,1,750
740,BR,Ṣo Paulo,US,Miami,10,Economy Flight,Conference/Exhibition,No,8000,Finance,5,1800
743,DE,Berlin,ES,Madrid,4,Train,Conference/Exhibition,Yes,9000,Sales,2,900
744,AU,Sydney,AU,Brisbane,15,Volkswagen Golf petrol,Customer Visit,No,10000,Ecosystem,3,450
754,CN,Beijing,US,New York,12,Business Class Flight,Enablement,No,7000,Product Management,2,3150
757,AU,Sydney,SG,Singapore,12,Business Class Flight,Customer Visit,Yes,8000,Sustainability,1,3600
760,CN,Beijing,IN,New Delhi,4,Train,Internal Business Trip,No,9000,Office Management,5,1800
765,AU,Sydney,DE,Frankfurt,10,Economy Flight,Customer Visit,No,8000,Ecosystem,2,2700
768,BR,Ṣo Paulo,AR,Buenos Aires,10,Economy Flight,Customer Visit,No,8000,Operations,1,2850
770,AU,Sydney,DE,Frankfurt,10,Economy Flight,Conference/Exhibition,No,9000,Sales,2,3000
771,CN,Beijing,AU,Sydney,12,Business Class Flight,Partner Visit,Yes,8000,Marketing,3,2400
773,CN,Beijing,IN,New Delhi,10,Economy Flight,Conference/Exhibition,No,10000,Sales,2,3300
775,AU,Sydney,AU,Brisbane,15,Volkswagen Golf petrol,Internal Business Trip,Yes,7000,Executive Management,2,3600
776,AU,Sydney,DE,Frankfurt,12,Business Class Flight,Conference/Exhibition,Yes,8000,Executive Management,5,3000
777,AU,Sydney,DE,Frankfurt,10,Economy Flight,Conference/Exhibition,No,8000,Value Engineering,1,3000
781,US,New York,CA,Toronto,4,Train,Conference/Exhibition,No,8000,Sales,2,1200
783,CN,Beijing,RU,Moscow,10,Economy Flight,Conference/Exhibition,No,9000,Ecosystem,5,2550
784,US,New York,MX,Mexico City,15,Volkswagen Golf petrol,Conference/Exhibition,No,8000,Services,1,1200
792,AU,Sydney,DE,Frankfurt,10,Economy Flight,Conference/Exhibition,No,9000,Sales,1,2850
805,CN,Beijing,IN,New Delhi,12,Business Class Flight,Customer Visit,Yes,6000,Ecosystem,2,3450
806,AU,Sydney,SG,Singapore,10,Economy Flight,Customer Visit,No,9000,Customer Support,3,2250
810,US,New York,FR,Paris,4,Train,Customer Visit,No,10000,Sales,3,1200
822,BR,Ṣo Paulo,AR,Buenos Aires,10,Economy Flight,Customer Visit,No,7000,Executive Management,1,3000
826,AU,Sydney,DE,Frankfurt,12,Business Class Flight,Conference/Exhibition,No,6000,Operations,6,2550
828,DE,Berlin,ES,Madrid,15,Volkswagen Golf petrol,Conference/Exhibition,No,8000,Sales,1,3300
829,AU,Sydney,DE,Frankfurt,10,Economy Flight,Conference/Exhibition,No,7000,Marketing,3,3600
831,JP,Fukuoka,JP,Tokyo,13,BMW 3 diesel,Conference/Exhibition,No,9000,Sales,2,3600
833,US,New York,MX,Mexico City,12,Business Class Flight,Internal Business Trip,Yes,8000,Marketing,6,1200
840,BR,Ṣo Paulo,AR,Buenos Aires,10,Economy Flight,Customer Visit,No,9000,Operations,5,450
843,CN,Beijing,GB,London,13,BMW 3 diesel,Internal Business Trip,No,6000,Customer Support,3,2250
844,BR,Ṣo Paulo,US,Miami,10,Economy Flight,Customer Visit,No,6000,Ecosystem,5,1800
852,ZA,Cape Town,ZA,Johannesburg,14,Volkswagen Golf diesel,Conference/Exhibition,No,7000,Sales,5,1500
854,DE,Berlin,ES,Madrid,15,Volkswagen Golf petrol,Conference/Exhibition,No,9000,Sales,2,1200
856,BR,Ṣo Paulo,US,Miami,12,Business Class Flight,Customer Visit,No,7000,Sales,3,750
857,AU,Sydney,DE,Frankfurt,12,Business Class Flight,Internal Business Trip,No,9000,Executive Management,4,2700
864,DE,Hamburg,DE,Berlin,15,Volkswagen Golf petrol,Internal Business Trip,No,8000,Sales,4,3300
865,MX,Mexico City,US,Miami,15,Volkswagen Golf petrol,Enablement,No,6000,Ecosystem,1,3600
870,US,New York,FR,Paris,12,Business Class Flight,Enablement,No,9000,Marketing,1,2550
871,BR,Ṣo Paulo,US,Miami,10,Economy Flight,Customer Visit,No,8000,Customer Support,2,1800
874,AU,Sydney,US,Los Angeles,10,Economy Flight,Conference/Exhibition,No,6000,Operations,5,3150
875,AU,Sydney,DE,Frankfurt,12,Business Class Flight,Customer Visit,Yes,6000,Value Engineering,4,3150
877,AU,Sydney,SG,Singapore,10,Economy Flight,Customer Visit,No,8000,Sales,3,1200
878,AU,Sydney,SG,Singapore,10,Economy Flight,Enablement,No,8000,Marketing,2,3000
879,MX,Mexico City,US,Miami,16,BMW 3 plugin hybrid,Conference/Exhibition,Yes,8000,Marketing,3,1200
881,AU,Sydney,US,Los Angeles,10,Economy Flight,Partner Visit,No,6000,Office Management,4,450
882,CN,Beijing,IN,New Delhi,10,Economy Flight,Enablement,No,8000,Sales,1,2250
883,MX,Mexico City,US,Miami,14,Volkswagen Golf diesel,Conference/Exhibition,No,7000,Customer Support,5,2850
884,US,New York,CA,Toronto,12,Business Class Flight,Customer Visit,No,6000,Services,3,3600
886,BR,Ṣo Paulo,ZA,Johannesburg,12,Business Class Flight,Conference/Exhibition,No,7000,Sales,3,2700
894,CN,Beijing,RU,Moscow,10,Economy Flight,Customer Visit,Yes,6000,Executive Management,3,3000
897,AU,Sydney,SG,Singapore,10,Economy Flight,Customer Visit,No,10000,Legal,5,2700
903,BR,Ṣo Paulo,ZA,Johannesburg,10,Economy Flight,Customer Visit,No,10000,Ecosystem,2,3600
910,DE,Berlin,NL,Amsterdam,13,BMW 3 diesel,Customer Visit,No,7000,Sales,1,3000
912,AU,Sydney,SG,Singapore,10,Economy Flight,Customer Visit,No,9000,Sales,5,750
913,BR,Ṣo Paulo,US,Miami,10,Economy Flight,Conference/Exhibition,No,6000,Sales,1,2400
914,BR,Ṣo Paulo,ZA,Johannesburg,12,Business Class Flight,Conference/Exhibition,Yes,8000,Sales,3,3600
916,US,New York,CA,Toronto,12,Business Class Flight,Conference/Exhibition,No,10000,Sales,3,900
924,DE,Berlin,IT,Rome,12,Business Class Flight,Internal Business Trip,Yes,8000,Marketing,2,450
927,BR,Ṣo Paulo,US,Miami,10,Economy Flight,Customer Visit,No,6000,Services,3,3000
936,AU,Sydney,NZ,Auckland,13,BMW 3 diesel,Customer Visit,No,7000,Marketing,3,3750
939,BR,Ṣo Paulo,US,Miami,12,Business Class Flight,Customer Visit,Yes,10000,Finance,4,3000
944,CN,Beijing,IN,New Delhi,10,Economy Flight,Customer Visit,No,10000,Sales,1,2250
950,BR,Ṣo Paulo,US,Miami,10,Economy Flight,Conference/Exhibition,No,10000,Sales,3,3000
952,DE,Berlin,ES,Madrid,4,Train,Customer Visit,No,10000,Services,4,1800
961,US,New York,CA,Toronto,15,Volkswagen Golf petrol,Conference/Exhibition,No,8000,Services,6,1200
962,CN,Beijing,RU,Moscow,15,Volkswagen Golf petrol,Conference/Exhibition,Yes,10000,Executive Management,5,450
963,US,New York,MX,Mexico City,12,Business Class Flight,Conference/Exhibition,No,7000,Executive Management,2,900
967,US,New York,CA,Toronto,13,BMW 3 diesel,Conference/Exhibition,No,9000,Sales,2,1200
968,CN,Beijing,IN,New Delhi,12,Business Class Flight,Enablement,Yes,7000,Ecosystem,4,450
977,BR,Ṣo Paulo,AR,Buenos Aires,10,Economy Flight,Conference/Exhibition,No,6000,Product Management,5,2700
980,DE,Berlin,FR,Paris,14,Volkswagen Golf diesel,Customer Visit,No,6000,Sales,5,1200
990,AU,Sydney,SG,Singapore,12,Business Class Flight,Conference/Exhibition,Yes,10000,Sales,2,1350
1000,CN,Beijing,IN,New Delhi,10,Economy Flight,Customer Visit,No,10000,Operations,5,1800
1005,DE,Berlin,ES,Madrid,12,Business Class Flight,Customer Visit,Yes,8000,Marketing,5,3150
1010,AU,Sydney,US,Los Angeles,12,Business Class Flight,Conference/Exhibition,Yes,9000,Value Engineering,2,3300
1013,AU,Sydney,US,Los Angeles,10,Economy Flight,Customer Visit,No,7000,Sales,3,3150
