TripID,TravelRequestID,ExpenseRequestID,ExpenseDenialReason,ExpenseReimbursementReason,ExpenseReimbursementAmount,ReasonForTransportCancellation,NewTransportSelection,ReasonForNewTransport,NewHotelSelection,ReasonForNewHotel,NewModeOfTransportation,TransportationPriceDifference,ReasonForTransportationChange,ReasonForDelay,ExtensionLength,DaysPreapproved,ProcessCode
161,TR000161,EXP000161,,Standard travel reimbursement,285.75,,,,New hotel chosen,Quality issue,,,,,,3,V1
167,TR000167,EXP000167,Missing receipt,Standard travel reimbursement,268.3,,,,,,,,,,,4,V22
168,TR000168,EXP000168,,Policy exception approved,295.9,,Rebooked flight,Schedule conflict,New hotel chosen,Location preference,,,,,,2,V7
172,TR000172,EXP000172,Missing receipt,Standard travel reimbursement,146.38,,,,,,Updated First Class Flight,3.91,Cost optimization,,,4,V1
176,TR000176,EXP000176,,Standard travel reimbursement,449.58,,,,,,Updated First Class Flight,-161.26,Client preference,Airport congestion,,1,V1
181,TR000181,EXP000181,Personal expense,Partial reimbursement,523.75,,,,,,,,,Security screening,,4,V1
183,TR000183,EXP000183,,Partial reimbursement,318.19,,,,,,Updated Volkswagen Golf diesel,106.6,Cost optimization,,3.0,1,V17
186,TR000186,EXP000186,,Policy exception approved,413.8,,Rebooked flight,Route change,Alternative hotel selected,Availability,,,,,,0,V24
189,TR000189,EXP000189,Missing receipt,Standard travel reimbursement,503.57,,,,,,,,,,,1,V1
191,TR000191,EXP000191,,Policy exception approved,508.94,,,,New hotel chosen,Hotel overbooked,Updated Fiat 500 electric,-86.1,Time constraints,,,0,V1
193,TR000193,EXP000193,,Policy exception approved,434.05,,,,,,,,,,,0,V1
194,TR000194,EXP000194,,Partial reimbursement,361.46,,,,,,,,,,,1,V1
197,TR000197,EXP000197,,Standard travel reimbursement,335.07,,,,,,,,,,,4,V1
204,TR000204,EXP000204,,Standard travel reimbursement,141.59,,Rebooked flight,Schedule conflict,,,Updated First Class Flight,269.17,Cost optimization,,,0,V27
207,TR000207,EXP000207,,Partial reimbursement,504.97,,,,,,,,,,,1,V1
212,TR000212,EXP000212,,Standard travel reimbursement,289.82,,,,,,,,,,,0,V1
214,TR000214,EXP000214,,Policy exception approved,539.16,,,,,,,,,,2.0,1,V17
216,TR000216,EXP000216,,Partial reimbursement,237.82,,,,,,,,,,4.0,4,V18
217,TR000217,EXP000217,,Partial reimbursement,183.99,,,,,,,,,,,2,V32
218,TR000218,EXP000218,,Partial reimbursement,261.79,,,,New hotel chosen,Quality issue,,,,,,1,V1
219,TR000219,EXP000219,,Partial reimbursement,128.5,,,,,,,,,,,1,V1
232,TR000232,EXP000232,,Partial reimbursement,336.46,,,,,,,,,,,4,V1
236,TR000236,EXP000236,,Policy exception approved,364.25,,,,,,,,,,,3,V3
239,TR000239,EXP000239,,Standard travel reimbursement,197.86,,,,,,,,,,,4,V16
248,TR000248,EXP000248,Personal expense,Policy exception approved,213.96,,,,,,,,,,,3,V1
251,TR000251,EXP000251,,Partial reimbursement,136.25,,,,,,,,,,,1,V1
252,TR000252,EXP000252,,Standard travel reimbursement,590.89,Vehicle issue,,,,,,,,,,3,V12
253,TR000253,EXP000253,,Standard travel reimbursement,409.89,,,,,,,,,Mechanical issue,,3,V16
255,TR000255,EXP000255,,Standard travel reimbursement,285.18,,,,,,,,,,,2,V21
256,TR000256,EXP000256,Late submission,Policy exception approved,244.7,,,,,,,,,,,0,V1
261,TR000261,EXP000261,Missing receipt,Standard travel reimbursement,216.4,,,,,,,,,,,2,V1
269,TR000269,EXP000269,,Standard travel reimbursement,485.5,,,,,,,,,Mechanical issue,,1,V21
276,TR000276,EXP000276,,Policy exception approved,208.87,,,,,,,,,,,0,V1
277,TR000277,EXP000277,,Standard travel reimbursement,256.38,,,,,,,,,,,3,V1
279,TR000279,EXP000279,Out of policy,Standard travel reimbursement,282.42,,,,New hotel chosen,Location preference,,,,,,4,V1
281,TR000281,EXP000281,,Policy exception approved,293.8,,,,,,,,,,,4,V1
282,TR000282,EXP000282,,Standard travel reimbursement,431.3,,,,,,Updated First Class Flight,-148.22,Safety concern,,,0,V26
286,TR000286,EXP000286,,Policy exception approved,372.06,,,,,,,,,,,3,V1
288,TR000288,EXP000288,,Policy exception approved,382.48,,,,,,,,,,,0,V1
293,TR000293,EXP000293,Out of policy,Partial reimbursement,568.33,,,,,,,,,,,4,V1
301,TR000301,EXP000301,,Standard travel reimbursement,239.04,,,,,,,,,Security screening,,3,V1
304,TR000304,,,,,,,,New hotel chosen,Hotel overbooked,,,,,2.0,1,V18
312,TR000312,EXP000312,,Policy exception approved,469.26,,Rebooked flight,Better schedule,,,Updated First Class Flight,54.8,Client preference,,,1,V15
316,TR000316,EXP000316,,Policy exception approved,138.53,,,,,,,,,Weather delay,,3,V1
317,TR000317,EXP000317,,Partial reimbursement,503.91,,,,,,,,,,,3,V1
318,TR000318,EXP000318,,Partial reimbursement,466.31,,,,,,,,,,,3,V1
320,TR000320,EXP000320,,Standard travel reimbursement,116.14,,,,,,,,,,,1,V20
324,TR000324,EXP000324,,Standard travel reimbursement,460.58,,,,,,,,,,,2,V13
326,TR000326,EXP000326,,Standard travel reimbursement,433.46,,,,,,,,,,,4,V1
329,TR000329,EXP000329,,Partial reimbursement,503.76,,,,,,,,,,,4,V14
332,TR000332,EXP000332,,Policy exception approved,397.22,,,,,,,,,,,1,V20
338,TR000338,,,,,,,,,,,,,,4.0,1,V18
339,TR000339,EXP000339,,Standard travel reimbursement,459.77,,,,New hotel chosen,Location preference,,,,,,1,V1
341,TR000341,EXP000341,Out of policy,Standard travel reimbursement,594.76,Personal emergency,,,,,,,,,,1,V12
343,TR000343,EXP000343,Missing receipt,Standard travel reimbursement,420.0,,,,,,,,,Vehicle breakdown,,0,V11
354,TR000354,EXP000354,,Standard travel reimbursement,269.21,,,,,,,,,,,4,V1
362,TR000362,EXP000362,,Policy exception approved,252.54,Personal emergency,,,,,,,,,2.0,1,V19
368,TR000368,EXP000368,,Partial reimbursement,428.09,,,,,,,,,,4.0,3,V18
369,TR000369,EXP000369,,Standard travel reimbursement,333.8,,,,,,,,,,,3,V1
377,TR000377,EXP000377,,Policy exception approved,473.36,,,,,,,,,,4.0,1,V19
381,TR000381,EXP000381,,Policy exception approved,413.28,,,,,,,,,,,0,V25
386,TR000386,EXP000386,,Policy exception approved,188.64,,,,,,,,,,,3,V1
389,TR000389,EXP000389,,Standard travel reimbursement,205.69,,Rebooked flight,Cheaper fare,,,Updated First Class Flight,205.8,Client preference,,,1,V15
397,TR000397,EXP000397,,Partial reimbursement,473.5,,,,,,,,,,4.0,4,V18
398,TR000398,EXP000398,,Partial reimbursement,425.26,,,,,,Updated BMW 3 diesel,55.9,Safety concern,,,4,V1
402,TR000402,EXP000402,,Partial reimbursement,335.71,,,,,,,,,Mechanical issue,,3,V11
403,TR000403,EXP000403,Out of policy,Standard travel reimbursement,257.73,,,,New hotel chosen,Rate change,,,,,,3,V1
404,TR000404,EXP000404,,Standard travel reimbursement,146.78,Schedule change,,,,,,,,,4.0,4,V18
420,TR000420,EXP000420,,Standard travel reimbursement,121.29,,,,,,,,,,,4,V1
421,TR000421,EXP000421,,Standard travel reimbursement,192.18,,,,New hotel chosen,Quality issue,,,,Security screening,,3,V1
423,TR000423,EXP000423,,Standard travel reimbursement,195.0,,,,,,,,,,,1,V26
430,TR000430,EXP000430,,Standard travel reimbursement,578.26,,,,,,,,,,,0,V1
431,TR000431,EXP000431,,Policy exception approved,235.98,,,,,,,,,,,3,V16
433,TR000433,EXP000433,Missing receipt,Partial reimbursement,427.72,,,,,,,,,,,0,V1
441,TR000441,EXP000441,,Standard travel reimbursement,270.03,,,,New hotel chosen,Hotel overbooked,,,,,,0,V1
443,TR000443,EXP000443,Missing receipt,Policy exception approved,557.27,,,,New hotel chosen,Quality issue,Updated First Class Flight,-28.36,Client preference,,,4,V16
445,TR000445,EXP000445,,Policy exception approved,273.94,,,,,,,,,,,4,V1
452,TR000452,EXP000452,,Policy exception approved,341.51,,Rebooked flight,Route change,,,Updated Business Class Flight,56.68,Safety concern,,,4,V15
457,TR000457,EXP000457,,Policy exception approved,266.26,,,,New hotel chosen,Hotel overbooked,,,,,,1,V1
460,TR000460,EXP000460,Missing receipt,,223.32,,,,,,,,,,3.0,1,V18
467,TR000467,EXP000467,,Policy exception approved,491.88,,Rebooked rental,Cheaper fare,,,,,,,,3,V23
468,TR000468,EXP000468,,Policy exception approved,251.36,,,,,,,,,Airport congestion,,1,V11
473,TR000473,EXP000473,,Policy exception approved,416.92,,,,,,,,,,,2,V1
474,TR000474,EXP000474,,Standard travel reimbursement,377.85,,Rebooked rental,Schedule conflict,,,,,,Weather delay,,3,V29
475,TR000475,EXP000475,,Standard travel reimbursement,340.23,,,,,,,,,,,3,V1
478,TR000478,EXP000478,Out of policy,Policy exception approved,380.69,,Rebooked rental,Better schedule,New hotel chosen,Hotel overbooked,,,,,,3,V24
480,TR000480,EXP000480,,Partial reimbursement,354.4,,Rebooked rental,Route change,Alternative hotel selected,Location preference,,,,,,0,V10
482,TR000482,EXP000482,,Standard travel reimbursement,545.24,,Rebooked train,Cheaper fare,Alternative hotel selected,Availability,,,,,,2,V24
485,TR000485,EXP000485,,Policy exception approved,359.43,,,,,,,,,,,4,V1
495,TR000495,EXP000495,,Partial reimbursement,156.9,,Rebooked flight,Schedule conflict,,,Updated Economy Flight,55.51,Time constraints,,,4,V15
499,TR000499,EXP000499,,Partial reimbursement,362.85,,,,,,,,,,,2,V1
502,TR000502,EXP000502,,Policy exception approved,148.91,,,,,,,,,,,3,V16
503,TR000503,EXP000503,,Policy exception approved,178.56,,,,,,,,,,2.0,4,V18
514,TR000514,EXP000514,,Policy exception approved,472.23,,,,,,,,,Airport congestion,,4,V1
519,TR000519,EXP000519,Personal expense,Partial reimbursement,209.67,,,,,,Updated Volkswagen Golf petrol,-83.62,Time constraints,,,4,V1
521,TR000521,EXP000521,,Partial reimbursement,447.92,,,,,,,,,,,3,V1
523,TR000523,EXP000523,,Partial reimbursement,431.27,,,,,,Updated Train,-202.72,Cost optimization,,,1,V1
526,TR000526,EXP000526,Out of policy,Policy exception approved,354.77,,,,,,,,,,,1,V1
533,TR000533,EXP000533,Out of policy,Partial reimbursement,145.46,Vehicle issue,,,,,,,,,,2,V8
539,TR000539,EXP000539,Missing receipt,Policy exception approved,413.73,,,,,,,,,,,1,V1
541,TR000541,EXP000541,Late submission,Standard travel reimbursement,496.04,,Rebooked flight,Schedule conflict,,,Updated Economy Flight,182.08,Client preference,,,3,V27
545,TR000545,EXP000545,,Standard travel reimbursement,142.29,,,,New hotel chosen,Rate change,,,,,3.0,2,V18
555,TR000555,EXP000555,,Partial reimbursement,295.81,,,,,,,,,,,4,V1
561,TR000561,EXP000561,,Partial reimbursement,270.89,,,,,,,,,,,4,V1
574,TR000574,EXP000574,,Policy exception approved,394.16,Operational issue,Rebooked flight,Better schedule,,,,,,,,0,V14
575,TR000575,EXP000575,,Standard travel reimbursement,384.16,,,,New hotel chosen,Rate change,Updated Economy Flight,41.26,Time constraints,Traffic congestion,,1,V2
578,TR000578,EXP000578,,Standard travel reimbursement,152.6,,Rebooked rental,Schedule conflict,,,,,,,,0,V9
585,TR000585,EXP000585,,Partial reimbursement,243.93,,,,,,,,,,,2,V21
596,TR000596,EXP000596,,Policy exception approved,129.18,,,,,,,,,Airport congestion,,3,V11
619,TR000619,EXP000619,,Partial reimbursement,208.13,,,,,,,,,,,3,V1
625,TR000625,EXP000625,,Partial reimbursement,253.58,Airline schedule change,,,,,,,,,,2,V12
627,TR000627,EXP000627,Personal expense,Policy exception approved,231.7,,,,,,,,,,,4,V20
629,TR000629,EXP000629,,Policy exception approved,141.24,Personal emergency,,,,,,,,,,1,V8
631,TR000631,EXP000631,,Policy exception approved,277.41,,,,,,,,,,,1,V1
632,TR000632,EXP000632,Duplicate claim,Partial reimbursement,350.3,,,,,,,,,,,4,V35
634,TR000634,,,,,Schedule change,,,,,,,,,3.0,1,V18
635,TR000635,EXP000635,,Standard travel reimbursement,284.45,,,,New hotel chosen,Location preference,,,,,,3,V16
638,TR000638,EXP000638,,Partial reimbursement,574.7,,,,,,,,,,,3,V1
639,TR000639,EXP000639,,Policy exception approved,316.1,,,,,,,,,,,1,V1
652,TR000652,EXP000652,,Standard travel reimbursement,141.76,,,,,,,,,,,4,V22
656,TR000656,EXP000656,,Policy exception approved,394.42,,,,,,,,,,,4,V21
659,TR000659,EXP000659,,Partial reimbursement,462.01,,,,,,,,,,,0,V1
661,TR000661,EXP000661,,Standard travel reimbursement,437.39,,,,,,,,,,,2,V1
666,TR000666,EXP000666,,Standard travel reimbursement,138.24,,,,,,Updated Economy Flight,13.22,Cost optimization,,,2,V22
671,TR000671,EXP000671,,Partial reimbursement,253.67,Personal emergency,Rebooked flight,Cheaper fare,,,,,,,,2,V26
679,TR000679,EXP000679,,Partial reimbursement,273.57,,Rebooked flight,Cheaper fare,Alternative hotel selected,Location preference,Updated Economy Flight,3.98,Cost optimization,,,1,V7
680,TR000680,EXP000680,,Policy exception approved,476.1,,,,,,,,,,,3,V1
681,TR000681,EXP000681,,Policy exception approved,408.91,,Rebooked rental,Route change,,,Updated BMW 3 diesel,199.74,Cost optimization,,,2,V15
682,TR000682,EXP000682,,Partial reimbursement,417.04,,,,,,,,,,,2,V1
684,TR000684,EXP000684,,Standard travel reimbursement,132.61,,,,,,,,,,,4,V1
687,TR000687,EXP000687,,Standard travel reimbursement,201.9,,,,,,Updated Volkswagen Golf petrol,-89.43,Safety concern,,,4,V26
692,TR000692,EXP000692,Missing receipt,Partial reimbursement,481.26,,Rebooked train,Cheaper fare,,,,,,,,0,V30
700,TR000700,EXP000700,,Policy exception approved,337.52,,,,,,,,,,,4,V25
704,TR000704,EXP000704,,Policy exception approved,444.77,,,,,,,,,,,4,V16
721,TR000721,EXP000721,,Partial reimbursement,135.41,,,,,,,,,,,2,V1
723,TR000723,EXP000723,,Partial reimbursement,428.22,,,,New hotel chosen,Location preference,,,,,,3,V1
725,TR000725,EXP000725,,Partial reimbursement,392.23,,,,,,,,,,,0,V1
726,TR000726,EXP000726,,Standard travel reimbursement,372.78,,,,,,Updated Economy Flight,16.56,Cost optimization,,,1,V16
728,TR000728,EXP000728,Personal expense,Policy exception approved,109.75,Personal emergency,Rebooked flight,Cheaper fare,Alternative hotel selected,Location preference,,,,,,3,V7
730,TR000730,EXP000730,,Policy exception approved,338.03,,Rebooked flight,Better schedule,,,Updated First Class Flight,67.97,Safety concern,,,4,V15
731,TR000731,EXP000731,Personal expense,Standard travel reimbursement,564.55,,,,,,,,,,,4,V1
735,TR000735,EXP000735,,Policy exception approved,429.87,,,,,,,,,,,2,V16
737,TR000737,EXP000737,,Standard travel reimbursement,172.31,,Rebooked flight,Better schedule,,,,,,Weather delay,,4,V9
740,TR000740,EXP000740,,Policy exception approved,315.02,,,,,,,,,,,0,V1
743,TR000743,EXP000743,Late submission,Partial reimbursement,253.76,,,,,,,,,,,4,V1
744,TR000744,EXP000744,,Standard travel reimbursement,141.93,,,,,,,,,,4.0,3,V17
754,TR000754,EXP000754,,Partial reimbursement,465.44,Airline schedule change,,,,,,,,,,4,V1
757,TR000757,EXP000757,,Policy exception approved,287.74,,,,,,,,,,,1,V16
760,TR000760,EXP000760,,Policy exception approved,324.41,,,,,,,,,,,0,V1
765,TR000765,EXP000765,,Policy exception approved,392.75,,,,,,,,,Weather delay,,1,V16
768,TR000768,EXP000768,,Policy exception approved,400.49,,,,,,,,,Airport congestion,,2,V1
770,TR000770,EXP000770,,Policy exception approved,389.74,,,,,,,,,,,2,V1
771,TR000771,EXP000771,Out of policy,Standard travel reimbursement,142.84,,,,,,,,,Airport congestion,,0,V11
773,TR000773,EXP000773,,Standard travel reimbursement,424.31,,,,,,,,,,1.0,1,V18
775,TR000775,EXP000775,,Standard travel reimbursement,468.39,,,,New hotel chosen,Rate change,,,,,,3,V1
776,TR000776,EXP000776,,Policy exception approved,456.21,,,,,,,,,,,0,V1
777,TR000777,EXP000777,,Partial reimbursement,409.54,,,,,,,,,,,4,V25
781,TR000781,EXP000781,,Partial reimbursement,253.94,,,,,,,,,,,1,V25
783,TR000783,EXP000783,,Standard travel reimbursement,422.42,Weather disruption,,,New hotel chosen,Hotel overbooked,,,,,,4,V1
784,TR000784,EXP000784,,Policy exception approved,210.75,,,,,,,,,,,3,V1
792,TR000792,EXP000792,Out of policy,Partial reimbursement,482.92,,,,,,,,,,,2,V1
805,TR000805,EXP000805,,Policy exception approved,542.61,,,,,,,,,,,1,V1
806,TR000806,EXP000806,,Partial reimbursement,343.33,,,,,,,,,,3.0,3,V17
810,TR000810,EXP000810,,Standard travel reimbursement,393.85,Track maintenance,,,,,,,,,,2,V12
822,TR000822,EXP000822,,Standard travel reimbursement,484.93,Operational issue,,,,,,,,,4.0,4,V17
826,TR000826,EXP000826,,Policy exception approved,395.85,,,,,,Updated Business Class Flight,-203.87,Time constraints,,3.0,4,V19
828,TR000828,EXP000828,,Partial reimbursement,517.83,Vehicle issue,,,,,,,,,,4,V12
829,TR000829,EXP000829,,Standard travel reimbursement,451.96,,Rebooked flight,Schedule conflict,,,,,,,,3,V23
831,TR000831,EXP000831,,Partial reimbursement,529.6,,,,,,,,,,,1,V1
833,TR000833,EXP000833,Missing receipt,Policy exception approved,369.65,,,,,,,,,,,4,V1
840,TR000840,EXP000840,,Policy exception approved,156.45,,Rebooked flight,Schedule conflict,Alternative hotel selected,Rate change,,,,,,2,V10
843,TR000843,EXP000843,Out of policy,Standard travel reimbursement,597.57,,Rebooked rental,Cheaper fare,,,Updated Volkswagen Golf petrol,247.68,Safety concern,,,1,V15
844,TR000844,EXP000844,,Policy exception approved,312.95,,,,,,,,,,,1,V1
852,TR000852,EXP000852,Missing receipt,Standard travel reimbursement,358.79,,,,,,,,,,,4,V1
854,TR000854,EXP000854,,Partial reimbursement,213.75,,,,,,,,,,,4,V16
856,TR000856,EXP000856,,Partial reimbursement,218.48,,,,,,,,,,,3,V1
857,TR000857,EXP000857,,Policy exception approved,408.01,,,,,,,,,,,3,V13
864,TR000864,EXP000864,,Policy exception approved,405.29,,,,New hotel chosen,Location preference,,,,,,3,V1
865,TR000865,EXP000865,,Standard travel reimbursement,503.75,,,,,,,,,,,3,V1
870,TR000870,EXP000870,,Standard travel reimbursement,404.19,,Rebooked flight,Schedule conflict,New hotel chosen,Location preference,,,,,,1,V23
871,TR000871,EXP000871,,Standard travel reimbursement,273.42,,,,New hotel chosen,Rate change,,,,,,1,V25
874,TR000874,EXP000874,,Partial reimbursement,114.08,,,,,,,,,,,4,V13
875,TR000875,EXP000875,Late submission,,212.36,,,,,,,,,,2.0,1,V18
877,TR000877,EXP000877,,Partial reimbursement,515.96,Operational issue,Rebooked flight,Missed connection,,,,,,,,2,V21
878,TR000878,EXP000878,,Partial reimbursement,393.47,,,,New hotel chosen,Quality issue,,,,,,4,V1
879,TR000879,EXP000879,,Policy exception approved,235.12,,,,,,,,,,,4,V20
881,TR000881,EXP000881,,Policy exception approved,143.26,,,,,,Updated Economy Flight,21.49,Safety concern,,,4,V1
882,TR000882,EXP000882,,Partial reimbursement,326.66,,,,,,Updated Economy Flight,-165.15,Cost optimization,,,1,V1
883,TR000883,EXP000883,,Partial reimbursement,402.36,,,,,,,,,,,3,V13
884,TR000884,EXP000884,,Policy exception approved,434.49,,Rebooked flight,Better schedule,Alternative hotel selected,Availability,,,,,,2,V24
886,TR000886,EXP000886,,Policy exception approved,378.61,,,,,,,,,,,0,V1
894,TR000894,EXP000894,,Policy exception approved,239.14,,,,New hotel chosen,Rate change,,,,,,1,V13
897,TR000897,EXP000897,,Partial reimbursement,419.18,Airline schedule change,,,,,,,,,,4,V12
903,TR000903,EXP000903,,Standard travel reimbursement,462.24,,,,,,,,,,,0,V1
910,TR000910,EXP000910,,Partial reimbursement,414.34,,Rebooked rental,Better schedule,Alternative hotel selected,Availability,,,,,,4,V7
912,TR000912,EXP000912,,Standard travel reimbursement,175.12,,,,,,,,,,,1,V1
913,TR000913,EXP000913,,Partial reimbursement,369.26,,,,,,,,,,4.0,4,V18
914,TR000914,EXP000914,,Partial reimbursement,507.28,,,,,,,,,,,2,V1
916,TR000916,EXP000916,,Standard travel reimbursement,411.91,,,,,,,,,Security screening,,3,V21
924,TR000924,EXP000924,,Partial reimbursement,282.65,Operational issue,Rebooked flight,Cheaper fare,New hotel chosen,Location preference,,,,,,2,V24
927,TR000927,EXP000927,,Standard travel reimbursement,383.45,,,,,,,,,,,1,V1
936,TR000936,EXP000936,,Policy exception approved,540.56,,,,,,Updated BMW 3 diesel,294.55,Safety concern,,3.0,4,V17
939,TR000939,EXP000939,Personal expense,Policy exception approved,219.01,,,,New hotel chosen,Hotel overbooked,,,,,,0,V1
944,TR000944,EXP000944,,Partial reimbursement,366.25,,,,,,,,,,,1,V1
950,TR000950,EXP000950,,Partial reimbursement,428.69,,,,New hotel chosen,Quality issue,,,,,,1,V1
952,TR000952,EXP000952,,Partial reimbursement,287.93,,,,,,,,,,,4,V1
961,TR000961,EXP000961,,Standard travel reimbursement,215.51,,,,,,,,,,,4,V1
962,TR000962,EXP000962,Late submission,Standard travel reimbursement,567.76,,,,New hotel chosen,Hotel overbooked,,,,,,2,V1
963,TR000963,EXP000963,,Partial reimbursement,212.64,,Rebooked flight,Route change,,,Updated First Class Flight,70.52,Time constraints,Security screening,,0,V27
967,TR000967,EXP000967,,Policy exception approved,246.23,,,,,,,,,,,1,V26
968,TR000968,EXP000968,,Partial reimbursement,547.83,,,,,,,,,Mechanical issue,,1,V11
977,TR000977,EXP000977,,Standard travel reimbursement,420.7,,,,,,,,,,,1,V1
980,TR000980,EXP000980,,Standard travel reimbursement,249.94,,,,New hotel chosen,Hotel overbooked,,,,,,0,V1
990,TR000990,EXP000990,Personal expense,Policy exception approved,385.53,,,,,,,,,,,4,V1
1000,TR001000,EXP001000,,Standard travel reimbursement,327.01,,,,,,,,,,,4,V1
1005,TR001005,EXP001005,,Standard travel reimbursement,455.82,,Rebooked flight,Cheaper fare,Alternative hotel selected,Location preference,,,,,,2,V7
1010,TR001010,EXP001010,Personal expense,Standard travel reimbursement,195.21,,,,,,,,,,,1,V1
1013,TR001013,EXP001013,,Partial reimbursement,462.62,,,,,,,,,,2.0,2,V17
1015,TR001015,EXP001015,,Partial reimbursement,238.24,,Rebooked rental,Schedule conflict,New hotel chosen,Location preference,Updated BMW 3 diesel,-139.58,Time constraints,,,4,V15
1017,TR001017,EXP001017,,Standard travel reimbursement,510.3,Personal emergency,Rebooked flight,Cheaper fare,,,,,,,,4,V22
1021,TR001021,EXP001021,,Policy exception approved,317.19,,,,,,,,,,,4,V1
1029,TR001029,EXP001029,Missing receipt,Policy exception approved,333.52,,,,,,,,,,,1,V13
1032,TR001032,EXP001032,,Policy exception approved,172.58,,,,,,,,,Security screening,,2,V1
1036,TR001036,EXP001036,Missing receipt,Standard travel reimbursement,464.54,,,,,,,,,,,3,V1
1039,TR001039,EXP001039,,Partial reimbursement,541.7,,,,,,,,,,,4,V1
1040,TR001040,EXP001040,,Standard travel reimbursement,148.28,,,,,,,,,,,4,V1
1041,TR001041,EXP001041,,Policy exception approved,386.05,,,,New hotel chosen,Hotel overbooked,Updated BMW 3 plugin hybrid,125.44,Cost optimization,,,1,V14
